#trunk_id (position.x, position.y, position.z) (direction.x, direction.y, direction.z) radius height
61 (18.8226, 12.0961, 2.8132)  (-0.0337758, -0.0639638, 0.99738) 0.147021 4.46303
62 (3.78586, 8.80368, 4.95881)  (0.0284699, -0.105777, 0.993982) 0.110161 8.46146
63 (6.50291, 12.8722, 4.79219)  (0.0852595, -0.0977744, 0.99155) 0.0782153 8.3929
64 (4.90948, 14.7356, 5.8298)  (0.0676808, -0.0388789, 0.996949) 0.103832 9.92885
65 (-2.02991, 7.19539, 4.82718)  (0.0365592, -0.0910555, 0.995175) 0.180901 7.05001
66 (-3.61983, 10.1995, 5.93935)  (0.049812, -0.0500177, 0.997505) 0.0838128 9.18286
67 (-4.40174, 13.5466, 6.42029)  (0.0522248, -0.060157, 0.996822) 0.116753 10.0953
68 (-5.95819, 4.10098, 4.27451)  (0.0829633, -0.119646, 0.989344) 0.200482 5.90939
69 (-6.4, 5.70446, 6.04054)  (0.0930358, -0.0568702, 0.994037) 0.0874195 9.38287
70 (-3.22746, 15.9197, 5.61681)  (0.0646406, -0.0628458, 0.995928) 0.136005 8.39827
71 (1.21318, 14.0048, 5.17836)  (0.065705, -0.0618236, 0.995922) 0.000287824 7.58074
72 (-6.33847, 9.88733, 5.98092)  (0.0227242, -0.115386, 0.993061) 0.180275 8.83283
73 (-6.99479, 7.21445, 5.42501)  (0.0348256, -0.0318633, 0.998885) 0.287378 7.59473
74 (2.92123, 17.1662, 5.31774)  (0.0642204, -0.0940161, 0.993497) 0.115732 9.2193
75 (-2.29998, 19.7706, 5.3329)  (0.0640819, -0.0576533, 0.996278) 0.0876425 8.60593
76 (-1.39083, 10.6625, 3.6218)  (0.089772, -0.0847244, 0.992352) 0.0626268 4.73419
77 (0.152177, 16.1421, 5.41729)  (0.0175914, -0.0819972, 0.996477) 0.0591813 8.22254
78 (7.8822, 16.1048, 4.87019)  (0.0496432, -0.0445452, 0.997773) 0.0802657 8.97033
79 (7.79891, 17.7848, 5.19203)  (-0.0747026, 0.0244902, 0.996905) 0.0784788 9.27601
80 (7.05476, 23.196, 5.87702)  (0.030073, -0.0317874, 0.999042) 0.132947 9.69509
81 (8.76455, 22.4714, 5.38102)  (0.0227707, -0.0869846, 0.995949) 0.0677083 7.95284
82 (11.8541, 16.978, 5.07664)  (-0.01729, -0.027793, 0.999464) 0.106953 8.36351
83 (12.2923, 21.803, 5.86211)  (0.0482806, -0.0549861, 0.997319) 0.0857149 9.36224
84 (18.576, 17.0332, 5.1405)  (0.0321798, -0.0737207, 0.99676) 0.0924106 8.60127
85 (18.0627, 21.4037, 5.35209)  (0.0675838, -0.0765576, 0.994772) 0.0790285 8.48042
86 (20.6071, 15.8636, 4.1661)  (0.101216, -0.0982889, 0.989997) 0.0625631 6.94128
87 (16.4103, 22.9813, 5.75621)  (0.0653836, -0.0530972, 0.996447) 0.100214 9.11878
88 (21.5112, 17.3783, 5.09842)  (0.0814578, -0.0793289, 0.993515) 0.0929758 8.60854
89 (19.5996, 20.5128, 4.45876)  (0.056792, -0.10349, 0.993008) 0.0642145 6.89891
90 (19.3933, 23.2653, 5.31326)  (0.0752935, -0.0373367, 0.996462) 0.100173 8.52033
91 (23.0317, 20.6965, 5.40097)  (0.042636, -0.0112915, 0.999027) 0.0825817 8.29755
92 (21.9895, 22.9925, 5.43919)  (0.104036, -0.062433, 0.992612) 0.0766548 8.60811
93 (22.9736, 14.281, 4.76554)  (0.0449659, -0.0874448, 0.995154) 0.0956995 8.39869
94 (24.9197, 24.7717, 6.12914)  (0.0789056, -0.0782971, 0.993803) 0.112847 9.86398
95 (25.2229, 21.4063, 3.80504)  (0.0680729, -0.112417, 0.991327) 0.0760398 5.2535
96 (25.0813, 12.8009, 3.46502)  (0.0731039, -0.0931409, 0.992966) 0.115494 6.01576
97 (21.7065, 26.3383, 5.0647)  (0.0840659, -0.0444116, 0.99547) 0.0778485 7.39856
98 (21.9369, 25.0116, 4.17656)  (-0.0505391, 0.029148, 0.998297) 0.292162 5.88969
99 (18.0688, 28.6293, 5.70439)  (0.0829619, -0.0737916, 0.993817) 0.103121 8.66862
100 (19.5842, 26.1355, 4.30161)  (0.0720166, -0.0664861, 0.995185) 0.0460778 5.64501
101 (16.1635, 27.5589, 3.22775)  (-0.0975225, -0.223717, 0.969763) 0.376967 3.461
102 (20.8887, 29.8313, 4.64086)  (0.0319992, -0.0602636, 0.997669) 0.111534 6.04201
