#trunk_id (position.x, position.y, position.z) (direction.x, direction.y, direction.z) radius height
#trunk_id (position.x, position.y, position.z) (direction.x, direction.y, direction.z) radius height
#trunk_id (position.x, position.y, position.z) (direction.x, direction.y, direction.z) radius height
15 (1.04784, 7.05518, 6.10079)  (0.096167, -0.0675171, 0.993073) 0.118522 6.55233
16 (-6.58115, -2.98893, 4.66166)  (0.0628852, -0.0524668, 0.996641) 0.097348 9.08915
17 (-0.843712, -5.29838, 2.49837)  (0.0578983, -0.0740202, 0.995575) 0.0755606 5.89453
18 (-1.88008, 6.98638, 7.58795)  (0.0428191, -0.0682785, 0.996747) 0.104071 4.26227
19 (0.323895, -6.73842, 2.60222)  (0.0565397, -0.11377, 0.991897) 0.113784 4.53212
#trunk_id (position.x, position.y, position.z) (direction.x, direction.y, direction.z) radius height
1 (-0.429443, 4.84993, 3.41215)  (0.0767013, -0.068586, 0.994692) 0.065578 7.29787
2 (-2.94321, 4.30461, 3.93832)  (0.0814427, -0.0864393, 0.992923) 0.114878 8.44011
3 (3.995, -0.052195, 2.56488)  (0.0276216, -0.0647161, 0.997521) 0.0606155 5.94764
4 (2.80451, 2.36047, 2.32934)  (-0.0397669, -0.0642665, 0.99714) 0.0913006 5.06049
5 (6.94901, 4.7113, 3.94014)  (0.0484501, -0.0829078, 0.995379) 0.068717 8.14607
6 (-2.2588, -1.63377, 1.93665)  (0.0810561, -0.0846722, 0.993106) 0.0796134 4.20004
7 (-6.22594, -6.65584, 3.82094)  (0.0555717, -0.070323, 0.995975) 0.129517 9.18637
8 (-6.98506, 0.703251, 7.64407)  (0.0392537, -0.0568246, 0.997612) 0.0808806 3.27844
9 (3.56461, 5.83333, 4.55328)  (0.0497914, -0.0639391, 0.996711) 0.0906927 8.93408
10 (-4.72443, -0.810417, 3.96904)  (0.0604674, -0.0742815, 0.995402) 0.0726789 8.46703
11 (0.309118, -3.05981, 2.07233)  (-0.148613, 0.0172387, 0.988745) 0.328407 4.68786
12 (-2.62586, 0.8404, 2.12499)  (-0.126087, -0.126719, 0.983892) 0.242019 4.66691
13 (7.03132, 0.703704, 1.98266)  (0.0759577, -0.0730878, 0.994429) 0.0867299 4.68958
14 (-6.00167, 4.41779, 2.26702)  (0.0707304, -0.117492, 0.990552) 0.0788668 4.56643
15 (1.04784, 7.05518, 6.10079)  (0.096167, -0.0675171, 0.993073) 0.118522 6.55233
16 (-6.60898, -3.01347, 4.66258)  (0.065379, -0.0351539, 0.997241) 0.131135 9.08513
17 (-0.813992, -5.32929, 2.49443)  (0.0468568, -0.0737159, 0.996178) 0.0997053 5.89371
18 (-1.8657, 6.95752, 7.8762)  (0.0460243, -0.0660358, 0.996755) 0.107519 4.84227
19 (0.323895, -6.73842, 2.60222)  (0.0565397, -0.11377, 0.991897) 0.113784 4.53212
#trunk_id (position.x, position.y, position.z) (direction.x, direction.y, direction.z) radius height
1 (-0.429443, 4.84993, 3.41215)  (0.0767013, -0.068586, 0.994692) 0.065578 7.29787
2 (-3.00163, 4.35426, 3.96732)  (0.0759663, -0.101899, 0.99189) 0.055537 8.4907
3 (3.995, -0.052195, 2.56488)  (0.0276216, -0.0647161, 0.997521) 0.0606155 5.94764
4 (2.78978, 2.30931, 3.16291)  (-0.0300515, -0.0695871, 0.997123) 0.101026 6.72841
5 (7.02522, 4.6303, 4.79745)  (0.0552107, -0.0934386, 0.994093) 0.0810507 9.7754
6 (-2.04497, -1.85089, 4.70016)  (0.0739731, -0.0805329, 0.994003) 0.0768483 9.76067
7 (-6.22594, -6.65584, 3.82094)  (0.0555717, -0.070323, 0.995975) 0.129517 9.18637
8 (-6.98506, 0.703251, 7.64407)  (0.0392537, -0.0568246, 0.997612) 0.0808806 3.27844
9 (3.57695, 5.81133, 4.82726)  (0.0494674, -0.0648226, 0.99667) 0.0887873 9.48413
10 (-4.60395, -0.898606, 5.23562)  (0.0522661, -0.0720423, 0.996031) 0.0442307 11.0168
11 (0.309118, -3.05981, 2.07233)  (-0.148613, 0.0172387, 0.988745) 0.328407 4.68786
12 (-2.62586, 0.8404, 2.12499)  (-0.126087, -0.126719, 0.983892) 0.242019 4.66691
13 (7.1487, 0.606001, 3.44928)  (0.0703753, -0.0666983, 0.995288) 0.0948267 7.77327
14 (-6.00167, 4.41779, 2.26702)  (0.0707304, -0.117492, 0.990552) 0.0788668 4.56643
15 (1.07474, 7.04386, 6.33045)  (0.0946443, -0.0730598, 0.992827) 0.119928 7.01503
16 (-6.60898, -3.01347, 4.66258)  (0.065379, -0.0351539, 0.997241) 0.131135 9.08513
17 (-0.711976, -5.51469, 4.63003)  (0.0547941, -0.0693489, 0.996087) 0.136129 10.1851
18 (-1.8657, 6.95752, 7.8762)  (0.0460243, -0.0660358, 0.996755) 0.107519 4.84227
19 (0.465481, -7.01063, 5.28015)  (0.0510409, -0.105466, 0.993112) 0.105599 9.92075
20 (0.722439, 1.78502, 4.12168)  (0.0534496, -0.0622772, 0.996627) 0.0958999 7.5816
21 (-2.98104, 0.140003, 5.63141)  (-0.041687, -0.115703, 0.992409) 0.260425 5.60539
22 (-0.465108, -0.699285, 4.3734)  (0.0763038, -0.0958073, 0.992471) 0.0759462 7.23509
23 (6.36016, -5.26281, 4.35773)  (0.071499, -0.0745319, 0.994652) 0.0904781 8.6545
24 (8.26891, -3.8548, 2.94735)  (0.0426192, -0.0158163, 0.998966) 0.0757211 5.42397
#trunk_id (position.x, position.y, position.z) (direction.x, direction.y, direction.z) radius height
1 (-0.375512, 4.80673, 4.07265)  (0.0773344, -0.0690324, 0.994612) 0.0685033 8.62608
2 (-3.00163, 4.35426, 3.96732)  (0.0759663, -0.101899, 0.99189) 0.055537 8.4907
3 (4.01374, -0.0885272, 3.17145)  (0.024784, -0.0650156, 0.997576) 0.0675969 7.16299
4 (2.78978, 2.30931, 3.16291)  (-0.0300515, -0.0695871, 0.997123) 0.101026 6.72841
5 (6.99163, 4.58704, 4.7708)  (0.0523976, -0.0686491, 0.996264) 0.0731766 9.82754
6 (-2.18187, -2.21492, 6.30974)  (0.0799189, -0.166881, 0.982733) 0.359223 12.9962
7 (-6.22594, -6.65584, 3.82094)  (0.0555717, -0.070323, 0.995975) 0.129517 9.18637
8 (-6.98506, 0.703251, 7.64407)  (0.0392537, -0.0568246, 0.997612) 0.0808806 3.27844
9 (3.57695, 5.81133, 4.82726)  (0.0494674, -0.0648226, 0.99667) 0.0887873 9.48413
10 (-4.60395, -0.898606, 5.23562)  (0.0522661, -0.0720423, 0.996031) 0.0442307 11.0168
11 (0.309118, -3.05981, 2.07233)  (-0.148613, 0.0172387, 0.988745) 0.328407 4.68786
12 (-2.62586, 0.8404, 2.12499)  (-0.126087, -0.126719, 0.983892) 0.242019 4.66691
13 (7.14565, 0.604283, 3.44931)  (0.0710447, -0.0661927, 0.995274) 0.0930266 7.77332
14 (-6.00167, 4.41779, 2.26702)  (0.0707304, -0.117492, 0.990552) 0.0788668 4.56643
15 (1.07474, 7.04386, 6.33045)  (0.0946443, -0.0730598, 0.992827) 0.119928 7.01503
16 (-6.60898, -3.01347, 4.66258)  (0.065379, -0.0351539, 0.997241) 0.131135 9.08513
17 (-0.71602, -5.41898, 4.63814)  (0.045434, -0.0533581, 0.997541) 0.0922702 10.1843
18 (-1.8657, 6.95752, 7.8762)  (0.0460243, -0.0660358, 0.996755) 0.107519 4.84227
19 (0.478175, -7.03938, 5.34696)  (0.0537708, -0.109487, 0.992533) 0.11408 10.062
20 (0.722439, 1.78502, 4.12168)  (0.0534496, -0.0622772, 0.996627) 0.0958999 7.5816
21 (-2.98104, 0.140003, 5.63141)  (-0.041687, -0.115703, 0.992409) 0.260425 5.60539
22 (-0.49752, -0.921294, 6.45627)  (0.0738297, -0.0926833, 0.992955) 0.246574 11.4084
23 (6.36016, -5.26281, 4.35773)  (0.071499, -0.0745319, 0.994652) 0.0904781 8.6545
24 (8.32322, -3.88143, 3.85742)  (0.0450509, -0.0191015, 0.998802) 0.0882067 7.24847
25 (11.0746, 4.61989, 5.23037)  (0.0681788, -0.0552342, 0.996143) 0.106405 9.54623
26 (10.4936, 5.67256, 5.29188)  (-0.00158871, -0.0967066, 0.995312) 0.147869 9.32958
27 (10.9457, -2.43574, 4.21369)  (0.0575961, -0.0383606, 0.997603) 0.110697 7.75462
28 (12.4636, 2.06427, 4.41326)  (0.03208, -0.0449921, 0.998472) 0.231888 8.09953
29 (11.9479, -5.79721, 4.48037)  (0.00688131, -0.0655429, 0.997826) 0.202493 8.70867
#trunk_id (position.x, position.y, position.z) (direction.x, direction.y, direction.z) radius height
1 (-0.375512, 4.80673, 4.07265)  (0.0773344, -0.0690324, 0.994612) 0.0685033 8.62608
2 (-3.00163, 4.35426, 3.96732)  (0.0759663, -0.101899, 0.99189) 0.055537 8.4907
3 (4.05883, -0.150284, 4.10544)  (0.0588739, -0.0579192, 0.996584) 0.0754587 9.03906
4 (2.78978, 2.30931, 3.16291)  (-0.0300515, -0.0695871, 0.997123) 0.101026 6.72841
5 (6.99163, 4.58704, 4.7708)  (0.0523976, -0.0686491, 0.996264) 0.0731766 9.82754
6 (-2.18187, -2.21492, 6.30974)  (0.0799189, -0.166881, 0.982733) 0.359223 12.9962
7 (-6.22594, -6.65584, 3.82094)  (0.0555717, -0.070323, 0.995975) 0.129517 9.18637
8 (-6.98506, 0.703251, 7.64407)  (0.0392537, -0.0568246, 0.997612) 0.0808806 3.27844
9 (3.58035, 5.81546, 4.82736)  (0.0494581, -0.0648801, 0.996667) 0.0932818 9.48413
10 (-4.60395, -0.898606, 5.23562)  (0.0522661, -0.0720423, 0.996031) 0.0442307 11.0168
11 (0.309118, -3.05981, 2.07233)  (-0.148613, 0.0172387, 0.988745) 0.328407 4.68786
12 (-2.62586, 0.8404, 2.12499)  (-0.126087, -0.126719, 0.983892) 0.242019 4.66691
13 (7.1465, 0.602636, 3.47936)  (0.071101, -0.0679825, 0.99515) 0.0927757 7.83359
14 (-6.00167, 4.41779, 2.26702)  (0.0707304, -0.117492, 0.990552) 0.0788668 4.56643
15 (1.07474, 7.04386, 6.33045)  (0.0946443, -0.0730598, 0.992827) 0.119928 7.01503
16 (-6.60898, -3.01347, 4.66258)  (0.065379, -0.0351539, 0.997241) 0.131135 9.08513
17 (-0.71602, -5.41898, 4.63814)  (0.045434, -0.0533581, 0.997541) 0.0922702 10.1843
18 (-1.8657, 6.95752, 7.8762)  (0.0460243, -0.0660358, 0.996755) 0.107519 4.84227
19 (0.478175, -7.03938, 5.34696)  (0.0537708, -0.109487, 0.992533) 0.11408 10.062
20 (0.722439, 1.78502, 4.12168)  (0.0534496, -0.0622772, 0.996627) 0.0958999 7.5816
21 (-2.98104, 0.140003, 5.63141)  (-0.041687, -0.115703, 0.992409) 0.260425 5.60539
22 (-0.49752, -0.921294, 6.45627)  (0.0738297, -0.0926833, 0.992955) 0.246574 11.4084
23 (6.51943, -5.3952, 5.75618)  (0.0982409, -0.0712289, 0.99261) 0.131482 11.4816
24 (8.35317, -3.8784, 4.53575)  (0.0583658, -0.0186741, 0.998121) 0.0731884 8.60623
25 (11.0708, 4.61896, 5.23041)  (0.0724762, -0.0564666, 0.99577) 0.0950796 9.54572
26 (10.4763, 5.60887, 5.28578)  (0.0155394, -0.1078, 0.994051) 0.088923 9.32948
27 (10.9552, -2.4463, 4.21189)  (0.0626304, -0.0306021, 0.997568) 0.119348 7.75432
28 (12.7137, 2.14854, 4.40811)  (0.0410558, -0.0672355, 0.996892) 0.07001 8.10132
29 (11.9481, -5.9342, 4.474)  (0.00296275, -0.0408084, 0.999163) 0.289695 8.71264
30 (14.9846, 3.80129, 4.89686)  (0.0609788, -0.0452, 0.997115) 0.0801712 8.1497
31 (17.1665, -0.229924, 4.11341)  (0.0560939, -0.0484136, 0.997251) 0.0833332 7.68493
32 (15.7635, -2.38484, 2.41741)  (0.0139969, -0.040762, 0.999071) 0.0429514 4.34048
33 (15.7268, -6.92692, 2.29827)  (0.0596173, -0.0495961, 0.996988) 0.0653517 4.8029
34 (17.6441, 5.04441, 3.4351)  (0.0545412, -0.0634141, 0.996496) 0.0692394 5.38832
35 (18.2328, -5.74233, 2.67373)  (0.0513359, -0.0665207, 0.996464) 0.072441 5.34759
#trunk_id (position.x, position.y, position.z) (direction.x, direction.y, direction.z) radius height
1 (-0.375512, 4.80673, 4.07265)  (0.0773344, -0.0690324, 0.994612) 0.0685033 8.62608
2 (-3.00163, 4.35426, 3.96732)  (0.0759663, -0.101899, 0.99189) 0.055537 8.4907
3 (4.05883, -0.150284, 4.10544)  (0.0588739, -0.0579192, 0.996584) 0.0754587 9.03906
4 (2.78978, 2.30931, 3.16291)  (-0.0300515, -0.0695871, 0.997123) 0.101026 6.72841
5 (6.99163, 4.58704, 4.7708)  (0.0523976, -0.0686491, 0.996264) 0.0731766 9.82754
6 (-2.18187, -2.21492, 6.30974)  (0.0799189, -0.166881, 0.982733) 0.359223 12.9962
7 (-6.22594, -6.65584, 3.82094)  (0.0555717, -0.070323, 0.995975) 0.129517 9.18637
8 (-6.98506, 0.703251, 7.64407)  (0.0392537, -0.0568246, 0.997612) 0.0808806 3.27844
9 (3.58035, 5.81546, 4.82736)  (0.0494581, -0.0648801, 0.996667) 0.0932818 9.48413
10 (-4.60395, -0.898606, 5.23562)  (0.0522661, -0.0720423, 0.996031) 0.0442307 11.0168
11 (0.309118, -3.05981, 2.07233)  (-0.148613, 0.0172387, 0.988745) 0.328407 4.68786
12 (-2.62586, 0.8404, 2.12499)  (-0.126087, -0.126719, 0.983892) 0.242019 4.66691
13 (7.1465, 0.602636, 3.47936)  (0.071101, -0.0679825, 0.99515) 0.0927757 7.83359
14 (-6.00167, 4.41779, 2.26702)  (0.0707304, -0.117492, 0.990552) 0.0788668 4.56643
15 (1.07474, 7.04386, 6.33045)  (0.0946443, -0.0730598, 0.992827) 0.119928 7.01503
16 (-6.60898, -3.01347, 4.66258)  (0.065379, -0.0351539, 0.997241) 0.131135 9.08513
17 (-0.71602, -5.41898, 4.63814)  (0.045434, -0.0533581, 0.997541) 0.0922702 10.1843
18 (-1.8657, 6.95752, 7.8762)  (0.0460243, -0.0660358, 0.996755) 0.107519 4.84227
19 (0.478175, -7.03938, 5.34696)  (0.0537708, -0.109487, 0.992533) 0.11408 10.062
20 (0.722439, 1.78502, 4.12168)  (0.0534496, -0.0622772, 0.996627) 0.0958999 7.5816
21 (-2.98104, 0.140003, 5.63141)  (-0.041687, -0.115703, 0.992409) 0.260425 5.60539
22 (-0.49752, -0.921294, 6.45627)  (0.0738297, -0.0926833, 0.992955) 0.246574 11.4084
23 (6.51943, -5.3952, 5.75618)  (0.0982409, -0.0712289, 0.99261) 0.131482 11.4816
24 (8.35175, -3.87581, 4.53589)  (0.0584647, -0.0194224, 0.998101) 0.0701767 8.60633
25 (11.0708, 4.61896, 5.23041)  (0.0724762, -0.0564666, 0.99577) 0.0950796 9.54572
26 (10.4726, 5.5574, 6.02857)  (0.0190388, -0.0884803, 0.995896) 0.107371 10.8184
27 (10.8657, -2.52578, 4.42921)  (0.00386615, -0.0423357, 0.999096) 0.172626 8.17126
28 (12.7169, 2.15337, 4.40837)  (0.0402548, -0.0668934, 0.996948) 0.074979 8.10132
29 (11.8153, -5.5631, 4.78488)  (0.00077298, 0.0633018, 0.997994) 0.150542 9.32099
30 (14.9752, 3.79465, 4.89713)  (0.0606304, -0.0453961, 0.997128) 0.0720171 8.14968
31 (17.1665, -0.229924, 4.11341)  (0.0560939, -0.0484136, 0.997251) 0.0833332 7.68493
32 (15.745, -2.39073, 2.55348)  (0.00316837, -0.0263384, 0.999648) 0.0574155 4.61156
33 (15.7268, -6.92692, 2.29827)  (0.0596173, -0.0495961, 0.996988) 0.0653517 4.8029
34 (17.6441, 5.04441, 3.4351)  (0.0545412, -0.0634141, 0.996496) 0.0692394 5.38832
35 (18.336, -5.8326, 4.58673)  (0.0479569, -0.0517608, 0.997507) 0.0783102 9.18206
36 (20.4287, 2.76641, 4.77976)  (0.0239638, -0.0528496, 0.998315) 0.0918043 8.60755
37 (20.6798, -4.01878, 4.32133)  (0.0332941, -0.0611276, 0.997575) 0.154759 8.53689
38 (16.8013, 7.45759, 4.97888)  (0.0958556, -0.0626088, 0.993424) 0.0663349 6.89297
39 (18.1434, 3.25475, 3.29399)  (0.0582878, 0.0261415, 0.997957) 0.0996821 4.54459
40 (21.4744, -5.73967, 2.72392)  (0.16049, -0.106783, 0.981244) 0.055346 5.2876
41 (23.3621, 0.319651, 2.44101)  (0.0902016, -0.0911022, 0.991748) 0.0709295 4.13371
#trunk_id (position.x, position.y, position.z) (direction.x, direction.y, direction.z) radius height
1 (-0.375512, 4.80673, 4.07265)  (0.0773344, -0.0690324, 0.994612) 0.0685033 8.62608
2 (-3.00163, 4.35426, 3.96732)  (0.0759663, -0.101899, 0.99189) 0.055537 8.4907
3 (4.05883, -0.150284, 4.10544)  (0.0588739, -0.0579192, 0.996584) 0.0754587 9.03906
4 (2.78978, 2.30931, 3.16291)  (-0.0300515, -0.0695871, 0.997123) 0.101026 6.72841
5 (6.99163, 4.58704, 4.7708)  (0.0523976, -0.0686491, 0.996264) 0.0731766 9.82754
6 (-2.18187, -2.21492, 6.30974)  (0.0799189, -0.166881, 0.982733) 0.359223 12.9962
7 (-6.22594, -6.65584, 3.82094)  (0.0555717, -0.070323, 0.995975) 0.129517 9.18637
8 (-6.98506, 0.703251, 7.64407)  (0.0392537, -0.0568246, 0.997612) 0.0808806 3.27844
9 (3.58035, 5.81546, 4.82736)  (0.0494581, -0.0648801, 0.996667) 0.0932818 9.48413
10 (-4.60395, -0.898606, 5.23562)  (0.0522661, -0.0720423, 0.996031) 0.0442307 11.0168
